Year,min-extent,min-date,max-extent,max-date
1979,6.895,9/21/1979,16.635,3/1/1979
1980,7.533,9/5/1980,16.302,3/5/1980
1981,6.902,9/10/1981,15.801,3/14/1981
1982,7.16,9/13/1982,16.325,2/27/1982
1983,7.204,9/8/1983,16.412,3/14/1983
1984,6.396,9/16/1984,15.809,3/18/1984
1985,6.486,9/9/1985,16.163,3/17/1985
1986,7.122,9/6/1986,16.158,3/10/1986
1987,6.89,9/2/1987,16.293,2/21/1987
1988,7.048,9/11/1988,16.309,3/10/1988
1989,6.888,9/22/1989,15.766,3/6/1989
1990,6.011,9/21/1990,16.249,3/12/1990
1991,6.259,9/16/1991,15.647,2/25/1991
1992,7.159,9/7/1992,15.576,3/12/1992
1993,6.161,9/13/1993,16.048,3/13/1993
1994,6.934,9/5/1994,15.77,2/21/1994
1995,6.012,9/4/1995,15.384,3/31/1995
1996,7.147,9/10/1996,15.484,2/21/1996
1997,6.602,9/3/1997,15.684,3/20/1997
1998,6.293,9/17/1998,16.07,2/25/1998
1999,5.676,9/12/1999,15.627,3/30/1999
2000,5.943,9/11/2000,15.498,3/3/2000
2001,6.567,9/19/2001,15.742,3/4/2001
2002,5.625,9/18/2002,15.624,3/9/2002
2003,5.969,9/17/2003,15.629,3/20/2003
2004,5.77,9/18/2004,15.3,3/10/2004
2005,5.314,9/20/2005,14.993,3/9/2005
2006,5.746,9/14/2006,14.777,3/11/2006
2007,4.147,9/14/2007,14.842,3/10/2007
2008,4.548,9/18/2008,15.354,2/27/2008
2009,5.047,9/12/2009,15.195,3/2/2009
2010,4.59,9/19/2010,15.351,3/31/2010
2011,4.333,9/8/2011,14.704,3/7/2011
2012,3.34,9/16/2012,15.307,3/18/2012
2013,5.04,9/13/2013,15.196,3/14/2013
2014,4.988,9/16/2014,15.007,3/20/2014
2015,4.387,9/8/2015,14.554,2/22/2015
2016,4.145,9/7/2016,14.566,3/22/2016
2017,4.635,9/13/2017,14.449,3/5/2017
2018,4.63,9/21/2018,14.499,3/14/2018
2019,4.166,9/18/2019,14.896,3/11/2019
2020,3.793,9/13/2020,15.071,3/4/2020
2021,4.757,9/14/2021,14.865,3/11/2021
2022,4.692,9/15/2022,14.94,2/21/2022
