Year,min-extent,min-date,max-extent,max-date
1979,2.911,2/17/1979,18.361,9/13/1979
1980,2.521,2/26/1980,19.092,9/23/1980
1981,2.694,2/20/1981,18.856,9/18/1981
1982,2.89,2/23/1982,18.55,9/3/1982
1983,2.843,2/24/1983,18.811,9/20/1983
1984,2.382,2/27/1984,18.37,9/22/1984
1985,2.602,2/19/1985,18.931,9/11/1985
1986,2.953,3/6/1986,18.027,9/18/1986
1987,3.01,2/21/1987,18.524,9/15/1987
1988,2.639,2/24/1988,18.785,10/3/1988
1989,2.723,2/20/1989,18.274,9/23/1989
1990,2.784,2/22/1990,18.379,9/30/1990
1991,2.554,2/27/1991,18.671,9/30/1991
1992,2.492,2/23/1992,18.467,9/11/1992
1993,2.281,2/19/1993,18.71,9/20/1993
1994,3.083,2/12/1994,18.827,8/31/1994
1995,3.33,2/24/1995,18.762,9/26/1995
1996,2.597,2/25/1996,18.831,9/23/1996
1997,2.264,2/27/1997,18.792,9/22/1997
1998,2.772,2/25/1998,19.244,9/15/1998
1999,2.707,2/20/1999,18.981,9/30/1999
2000,2.582,2/18/2000,19.159,9/28/2000
2001,3.441,2/19/2001,18.494,9/28/2001
2002,2.697,2/20/2002,18.116,9/9/2002
2003,3.626,2/17/2003,18.68,9/25/2003
2004,3.259,2/20/2004,19.124,9/8/2004
2005,2.804,2/18/2005,19.295,9/29/2005
2006,2.487,2/20/2006,19.36,9/21/2006
2007,2.723,2/19/2007,19.086,9/29/2007
2008,3.692,2/20/2008,18.298,9/3/2008
2009,2.671,2/22/2009,19.299,9/24/2009
2010,2.842,2/16/2010,18.998,9/6/2010
2011,2.319,2/22/2011,18.954,9/23/2011
2012,3.111,2/23/2012,19.478,9/22/2012
2013,3.679,2/19/2013,19.608,10/1/2013
2014,3.548,2/21/2014,20.201,9/20/2014
2015,3.544,2/18/2015,18.912,10/2/2015
2016,2.616,2/17/2016,18.581,8/29/2016
2017,2.08,3/1/2017,18.145,10/9/2017
2018,2.2,2/18/2018,18.315,9/30/2018
2019,2.427,2/28/2019,18.489,9/26/2019
2020,2.711,2/19/2020,19.062,9/25/2020
2021,2.68,2/22/2021,18.893,8/30/2021
2022,1.957,2/25/2022,18.276,9/13/2022
